,KEY,accuracy,accuracy_std,activation,amino_accuracy,batch_size,beta,dense_units,dropout,elbo,entropy,kld,latent_dim,learning_rate,mcc,mcc_std,regfactor,rho_avg,rho_min,rho_std,top_batch_size,top_dropout,top_learning_rate,top_regfactor,use_batch_norm
0,learning_rate,0.611524386,0.030222212,elu,0.41972306,128,1,"[1024, 512]",0.2,1333.7692,1293.643763,40.12543233,32,0.01,0.224431178,0.060134158,0.0001,0.292506481,0.115260116,0.181473149,128,0,0.01,0.001,FALSE
1,learning_rate,0.703695335,0.052858326,elu,0.7098562,128,1,"[1024, 512]",0.2,310.7552752,284.4786465,26.27662852,32,0.001,0.406720303,0.105582266,0.0001,-0.196815957,-0.869789665,0.508842132,128,0,0.01,0.001,FALSE
2,learning_rate,0.676959915,0.050470759,elu,0.68906754,128,1,"[1024, 512]",0.2,322.6614111,292.240836,30.42057495,32,0.0001,0.353305144,0.100960601,0.0001,-0.172551906,-0.575217342,0.355558925,128,0,0.01,0.001,FALSE
3,batch_size,0.703695335,0.052858326,elu,0.7098562,128,1,"[1024, 512]",0.2,310.7552752,284.4786465,26.27662852,32,0.001,0.406720303,0.105582266,0.0001,-0.196815957,-0.869789665,0.508842132,128,0,0.01,0.001,FALSE
4,batch_size,0.701852515,0.026417781,elu,0.6921014,32,1,"[1024, 512]",0.2,309.9844161,284.882105,25.10231134,32,0.001,0.403631102,0.053250826,0.0001,0.151566443,-0.081832367,0.152072823,32,0,0.01,0.001,FALSE
5,batch_size,0.698769857,0.04052139,elu,0.71139985,64,1,"[1024, 512]",0.2,310.0558603,286.6296443,23.42621528,32,0.001,0.397494428,0.081132179,0.0001,-0.166174618,-0.85468171,0.529167875,128,0,0.01,0.001,FALSE
6,batch_size,0.719138374,0.022130577,elu,0.7096559,256,1,"[1024, 512]",0.2,309.8817439,286.9124539,22.96929006,32,0.001,0.437901374,0.044994472,0.0001,0.135973882,-0.171242236,0.235699001,256,0,0.01,0.001,FALSE
7,batch_size,0.705082595,0.007416029,elu,0.7122438,512,1,"[1024, 512]",0.2,313.4519975,286.4944236,26.95757394,32,0.001,0.410338215,0.015306784,0.0001,-0.033775022,-0.859644816,0.473734943,512,0,0.01,0.001,FALSE
8,activation,0.719138374,0.022130577,elu,0.7096559,256,1,"[1024, 512]",0.2,309.8817439,286.9124539,22.96929006,32,0.001,0.437901374,0.044994472,0.0001,0.135973882,-0.171242236,0.235699001,256,0,0.01,0.001,FALSE
9,activation,0.688179649,0.025594112,relu,0.62105304,256,1,"[1024, 512]",0.2,343.2196959,326.2248887,16.99480684,32,0.001,0.376474668,0.051923908,0.0001,0.183165458,-0.068550748,0.226201695,256,0,0.01,0.001,FALSE
10,activation,0.695539961,0.036884259,leaky_relu,0.702907,256,1,"[1024, 512]",0.2,307.469793,285.1827122,22.28708079,32,0.001,0.391800272,0.073250001,0.0001,-0.222423062,-0.495426012,0.328980398,256,0,0.01,0.001,FALSE
11,activation,0.698462823,0.036377419,selu,0.6936611,256,1,"[1024, 512]",0.2,319.1188838,296.3278474,22.79103544,32,0.001,0.397838359,0.073012154,0.0001,-0.329363951,-0.569248497,0.222402936,256,0,0.01,0.001,FALSE
12,use_batch_norm,0.719138374,0.022130577,elu,0.7096559,256,1,"[1024, 512]",0.2,309.8817439,286.9124539,22.96929006,32,0.001,0.437901374,0.044994472,0.0001,0.135973882,-0.171242236,0.235699001,256,0,0.01,0.001,FALSE
13,use_batch_norm,0.708678964,0.042635909,elu,0.37343198,256,1,"[1024, 512]",0.2,607.6297319,606.9623685,0.667362612,32,0.001,0.416340239,0.083893399,0.0001,0.312420245,0.073263128,0.267600986,256,0,0.01,0.001,TRUE
14,dense_units,0.719138374,0.022130577,elu,0.7096559,256,1,"[1024, 512]",0.2,309.8817439,286.9124539,22.96929006,32,0.001,0.437901374,0.044994472,0.0001,0.135973882,-0.171242236,0.235699001,256,0,0.01,0.001,FALSE
15,dense_units,0.688140907,0.038502558,elu,0.6860283,256,1,"[256, 128]",0.2,321.4967157,293.3853488,28.11136629,32,0.001,0.378096532,0.073956693,0.0001,-0.113730468,-0.803760688,0.530566698,256,0,0.01,0.001,FALSE
16,dense_units,0.719431898,0.036731008,elu,0.7031554,256,1,"[512, 256]",0.2,314.1138674,287.6192238,26.49464392,32,0.001,0.440318214,0.071558001,0.0001,0.294389326,-0.049180359,0.296423872,256,0,0.01,0.001,FALSE
17,dense_units,0.714252965,0.024244785,elu,0.71076155,256,1,"[2048, 1024]",0.2,314.9569488,292.6111089,22.34584025,32,0.001,0.4300767,0.050268377,0.0001,-0.115750277,-0.767160519,0.423422015,256,0,0.01,0.001,FALSE
18,dense_units,0.700859119,0.03461144,elu,0.63226193,256,1,"[512, 256, 128]",0.2,339.8041547,323.1947341,16.60942017,32,0.001,0.400951983,0.069925586,0.0001,0.001645629,-0.483257779,0.365847109,256,0,0.01,0.001,FALSE
19,dense_units,0.683379929,0.040082707,elu,0.6742452,256,1,"[1024, 512, 256]",0.2,326.4608774,302.9675951,23.49328288,32,0.001,0.37223193,0.078409757,0.0001,-0.178838772,-0.75135292,0.436941567,256,0,0.01,0.001,FALSE
20,dense_units,0.691997829,0.020709552,elu,0.65657055,256,1,"[2048, 1024, 512]",0.2,336.3997451,316.4525154,19.94722982,32,0.001,0.385402901,0.040965389,0.0001,0.225115009,-0.272161826,0.33149693,256,0,0.01,0.001,FALSE
21,dropout,0.719431898,0.036731008,elu,0.7031554,256,1,"[512, 256]",0.2,314.1138674,287.6192238,26.49464392,32,0.001,0.440318214,0.071558001,0.0001,0.294389326,-0.049180359,0.296423872,256,0,0.01,0.001,FALSE
22,dropout,0.676984518,0.035179247,elu,0.6886616,256,1,"[512, 256]",0,323.3066446,293.3819567,29.92468756,32,0.001,0.355010199,0.071284736,0.0001,-0.374807161,-0.798688263,0.406702963,256,0,0.01,0.001,FALSE
23,dropout,0.712031874,0.028524821,elu,0.70096815,256,1,"[512, 256]",0.1,323.1756619,289.4067781,33.76888341,32,0.001,0.423338184,0.05709267,0.0001,-0.000262332,-0.592577279,0.413825508,256,0,0.01,0.001,FALSE
24,dropout,0.685917436,0.021477439,elu,0.6587739,256,1,"[512, 256]",0.3,324.5161048,305.8343892,18.68171606,32,0.001,0.372626833,0.043150767,0.0001,-0.213819091,-0.839464436,0.404022749,256,0,0.01,0.001,FALSE
25,dropout,0.66769428,0.039155275,elu,0.6149585,256,1,"[512, 256]",0.4,352.2652516,329.1346886,23.13056356,32,0.001,0.336656095,0.07785535,0.0001,-0.150197439,-0.668137157,0.433453443,256,0,0.01,0.001,FALSE
26,dropout,0.664035789,0.030566419,elu,0.5606607,256,1,"[512, 256]",0.5,400.0656033,380.9705707,19.09503339,32,0.001,0.328208175,0.061662111,0.0001,-0.005577559,-0.359813882,0.267177934,256,0,0.01,0.001,FALSE
27,regfactor,0.719431898,0.036731008,elu,0.7031554,256,1,"[512, 256]",0.2,314.1138674,287.6192238,26.49464392,32,0.001,0.440318214,0.071558001,0.0001,0.294389326,-0.049180359,0.296423872,256,0,0.01,0.001,FALSE
28,regfactor,0.725588311,0.033425178,elu,0.7032275,256,1,"[512, 256]",0.2,315.6422964,289.2828391,26.35945743,32,0.001,0.451968133,0.066298745,0,0.344763162,0.05709444,0.268775396,256,0,0.01,0.001,FALSE
29,regfactor,0.726713232,0.031745061,elu,0.70327824,256,1,"[512, 256]",0.2,315.6092595,289.2435605,26.36569938,32,0.001,0.454126091,0.063150739,1.00E-06,0.346376826,0.05709444,0.266367792,256,0,0.01,0.001,FALSE
