,5
Seq1,266.9
Seq2,260.3
Seq3,239.0
Seq4,238.6
Seq5,240.6
Seq6,260.0
Seq7,260.2
Seq8,259.3
Seq9,267.7
Seq10,258.7
Seq11,243.5
Seq12,238.9
Seq13,258.8
Seq14,245.6
Seq15,260.1
Seq16,265.2
Seq17,264.0
Seq18,244.0
Seq19,258.6
Seq20,260.0
Seq21,262.5
Seq22,258.3
Seq23,257.2
Seq24,259.1
Seq25,261.2
Seq26,239.8
Seq27,261.6
Seq28,266.8
Seq29,267.4
Seq30,257.8
Seq31,258.0
Seq32,255.1
Seq33,267.2
Seq34,268.0
Seq35,241.7
Seq36,253.0
Seq37,259.5
Seq38,255.0
Seq39,266.7
Seq40,243.4
Seq41,242.7
Seq42,244.9
Seq43,243.9
Seq44,261.8
Seq45,258.9
Seq46,265.3
Seq47,263.8
Seq48,266.1
Seq49,236.8
Seq50,257.4
Seq51,240.7
Seq52,267.9
Seq53,259.7
Seq54,261.2
Seq55,241.3
Seq56,266.7
Seq57,216.8
Seq58,259.5
Seq59,261.2
Seq60,257.8
Seq61,259.6
Seq62,240.2
Seq63,260.0
Seq64,260.7
Seq65,262.3
Seq66,268.0
Seq67,263.6
Seq68,260.1
Seq69,262.1
Seq70,240.6
Seq71,257.4
Seq72,244.3
Seq73,236.3
Seq74,258.3
Seq75,265.3
Seq76,169.8
Seq77,260.8
Seq78,242.7
Seq79,260.0
Seq80,235.6
Seq81,256.6
Seq82,267.2
Seq83,247.7
Seq84,238.5
Seq85,254.6
Seq86,260.6
Seq87,259.2
Seq88,167.3
Seq89,259.8
Seq90,240.8
Seq91,257.8
Seq92,241.3
Seq93,265.3
Seq94,267.5
Seq95,260.7
Seq96,280.3
Seq97,241.9
Seq98,264.0
Seq99,268.3
Seq100,254.8
Seq101,262.0
Seq102,264.8
Seq103,243.9
Seq104,259.9
Seq105,266.3
Seq106,267.1
Seq107,260.8
Seq108,269.9
Seq109,258.6
Seq110,269.2
Seq111,266.2
Seq112,261.3
Seq113,261.6
Seq114,261.9
Seq115,260.1
Seq116,261.7
Seq117,259.6
Seq118,264.4
Seq119,265.8
Seq120,263.5
Seq121,108.5
Seq122,233.4
Seq123,244.7
Seq124,240.9
Seq125,259.2
Seq126,239.1
Seq127,261.8
Seq128,266.5
Seq129,265.7
Seq130,260.2
Seq131,245.8
Seq132,256.8
Seq133,261.4
Seq134,260.8
Seq135,261.6
Seq136,267.0
Seq137,260.4
Seq138,241.1
Seq139,260.2
Seq140,261.8
Seq141,258.6
Seq142,240.9
Seq143,258.2
Seq144,261.8
Seq145,238.5
Seq146,263.0
Seq147,278.2
Seq148,220.6
Seq149,260.2
Seq150,261.6
Seq151,265.1
Seq152,233.0
Seq153,259.3
Seq154,258.4
Seq155,258.4
Seq156,259.2
Seq157,257.8
Seq158,241.5
Seq159,242.1
Seq160,242.3
Seq161,266.0
Seq162,263.9
Seq163,252.8
Seq164,246.9
Seq165,239.1
Seq166,260.5
Seq167,235.7
Seq168,250.4
Seq169,260.5
Seq170,264.5
Seq171,263.6
Seq172,261.1
Seq173,258.7
Seq174,260.1
Seq175,258.2
Seq176,265.2
Seq177,260.8
Seq178,266.3
Seq179,234.2
Seq180,259.1
Seq181,259.9
Seq182,265.3
Seq183,260.5
Seq184,265.8
Seq185,260.4
Seq186,262.8
Seq187,181.5
Seq188,263.3
Seq189,265.6
Seq190,266.9
Seq191,240.2
Seq192,251.0
Seq193,265.3
Seq194,264.7
Seq195,254.6
Seq196,261.7
Seq197,266.0
Seq198,261.3
Seq199,264.3
Seq200,259.5
Seq201,258.9
Seq202,260.5
Seq203,242.9
Seq204,256.7
Seq205,260.1
Seq206,263.2
Seq207,266.6
Seq208,242.7
Seq209,264.1
Seq210,260.5
Seq211,237.5
Seq212,259.4
Seq213,262.0
Seq214,260.2
Seq215,259.2
Seq216,264.4
Seq217,264.5
Seq218,265.7
Seq219,260.0
Seq220,260.4
Seq221,261.3
Seq222,261.4
Seq223,239.5
Seq224,237.9
Seq225,256.6
Seq226,261.1
Seq227,264.2
Seq228,254.6
Seq229,242.7
Seq230,242.6
Seq231,240.3
Seq232,249.5
