,5
Seq1,376.9
Seq2,372.1
Seq3,390.1
Seq4,383.0
Seq5,390.6
Seq6,373.4
Seq7,373.7
Seq8,371.2
Seq9,378.0
Seq10,369.6
Seq11,393.0
Seq12,389.4
Seq13,372.6
Seq14,374.9
Seq15,373.5
Seq16,375.2
Seq17,374.6
Seq18,385.2
Seq19,372.7
Seq20,375.1
Seq21,372.4
Seq22,369.7
Seq23,370.0
Seq24,372.9
Seq25,373.8
Seq26,389.8
Seq27,388.8
Seq28,377.0
Seq29,441.4
Seq30,370.2
Seq31,371.5
Seq32,390.9
Seq33,372.8
Seq34,433.4
Seq35,386.3
Seq36,431.1
Seq37,372.6
Seq38,366.4
Seq39,441.5
Seq40,385.4
Seq41,393.5
Seq42,386.0
Seq43,394.8
Seq44,374.0
Seq45,370.9
Seq46,438.0
Seq47,417.4
Seq48,441.2
Seq49,386.6
Seq50,370.6
Seq51,390.6
Seq52,443.3
Seq53,374.1
Seq54,375.0
Seq55,386.8
Seq56,373.4
Seq57,329.6
Seq58,370.8
Seq59,373.7
Seq60,369.6
Seq61,371.6
Seq62,394.2
Seq63,441.2
Seq64,373.5
Seq65,418.0
Seq66,372.1
Seq67,398.9
Seq68,373.5
Seq69,373.4
Seq70,373.2
Seq71,366.0
Seq72,387.4
Seq73,379.2
Seq74,434.7
Seq75,372.2
Seq76,229.2
Seq77,372.9
Seq78,387.1
Seq79,370.6
Seq80,384.4
Seq81,365.0
Seq82,374.5
Seq83,385.4
Seq84,390.5
Seq85,392.6
Seq86,373.1
Seq87,371.1
Seq88,246.8
Seq89,375.2
Seq90,386.1
Seq91,370.0
Seq92,386.6
Seq93,440.7
Seq94,446.5
Seq95,371.8
Seq96,453.0
Seq97,387.4
Seq98,375.7
Seq99,374.6
Seq100,368.5
Seq101,415.6
Seq102,442.8
Seq103,395.3
Seq104,371.5
Seq105,372.4
Seq106,443.7
Seq107,414.6
Seq108,440.2
Seq109,369.6
Seq110,377.3
Seq111,374.9
Seq112,423.1
Seq113,376.7
Seq114,375.0
Seq115,370.3
Seq116,397.4
Seq117,371.8
Seq118,441.4
Seq119,374.5
Seq120,420.1
Seq121,189.2
Seq122,375.1
Seq123,387.5
Seq124,387.1
Seq125,372.3
Seq126,391.7
Seq127,376.2
Seq128,375.1
Seq129,441.4
Seq130,373.1
Seq131,391.7
Seq132,368.0
Seq133,373.1
Seq134,375.5
Seq135,373.3
Seq136,373.4
Seq137,374.1
Seq138,387.4
Seq139,374.0
Seq140,416.9
Seq141,374.1
Seq142,387.4
Seq143,370.4
Seq144,417.8
Seq145,385.4
Seq146,373.5
Seq147,447.7
Seq148,355.6
Seq149,373.6
Seq150,437.4
Seq151,375.7
Seq152,371.6
Seq153,371.5
Seq154,370.1
Seq155,369.9
Seq156,370.6
Seq157,369.9
Seq158,386.1
Seq159,387.9
Seq160,386.1
Seq161,442.8
Seq162,374.5
Seq163,388.4
Seq164,393.0
Seq165,390.3
Seq166,415.5
Seq167,360.6
Seq168,385.7
Seq169,373.7
Seq170,437.5
Seq171,416.1
Seq172,415.9
Seq173,373.0
Seq174,373.3
Seq175,371.6
Seq176,441.4
Seq177,371.6
Seq178,372.4
Seq179,363.6
Seq180,415.1
Seq181,371.1
Seq182,419.9
Seq183,415.5
Seq184,437.1
Seq185,375.0
Seq186,418.5
Seq187,267.8
Seq188,374.6
Seq189,409.4
Seq190,442.8
Seq191,387.6
Seq192,389.4
Seq193,374.9
Seq194,437.7
Seq195,390.2
Seq196,439.9
Seq197,440.2
Seq198,372.3
Seq199,373.4
Seq200,371.9
Seq201,371.7
Seq202,372.8
Seq203,386.7
Seq204,369.2
Seq205,436.9
Seq206,437.3
Seq207,372.5
Seq208,386.0
Seq209,375.0
Seq210,373.8
Seq211,392.5
Seq212,368.6
Seq213,375.4
Seq214,413.7
Seq215,371.2
Seq216,440.0
Seq217,376.7
Seq218,371.1
Seq219,374.2
Seq220,374.1
Seq221,443.0
Seq222,373.3
Seq223,391.4
Seq224,381.7
Seq225,370.0
Seq226,377.2
Seq227,410.5
Seq228,429.8
Seq229,393.5
Seq230,387.2
Seq231,386.3
Seq232,388.8
Seq233,372.4
Seq234,386.0
Seq235,440.9
Seq236,394.4
Seq237,387.0
Seq238,376.8
Seq239,390.9
Seq240,375.7
Seq241,373.8
Seq242,378.1
Seq243,389.5
Seq244,387.2
Seq245,441.7
Seq246,376.1
Seq247,435.9
Seq248,369.7
Seq249,376.8
Seq250,375.3
Seq251,442.8
Seq252,394.9
Seq253,377.0
Seq254,371.0
Seq255,391.1
Seq256,372.8
Seq257,373.8
Seq258,411.8
Seq259,374.0
Seq260,389.3
Seq261,239.6
Seq262,371.3
Seq263,441.0
Seq264,375.7
Seq265,437.5
Seq266,375.1
Seq267,416.6
Seq268,371.1
Seq269,439.6
Seq270,375.0
Seq271,391.5
Seq272,165.6
Seq273,368.7
Seq274,370.1
Seq275,370.2
Seq276,441.2
Seq277,370.8
Seq278,372.3
Seq279,375.1
Seq280,437.2
Seq281,372.1
Seq282,371.9
Seq283,375.3
Seq284,374.0
Seq285,386.2
Seq286,368.4
Seq287,393.2
Seq288,369.0
Seq289,419.1
Seq290,371.3
Seq291,413.2
Seq292,426.7
Seq293,388.4
Seq294,387.5
Seq295,373.9
Seq296,392.8
Seq297,382.7
Seq298,391.2
Seq299,365.4
Seq300,440.2
Seq301,373.8
Seq302,372.2
Seq303,443.3
Seq304,369.9
Seq305,375.7
Seq306,418.7
Seq307,372.0
Seq308,369.0
Seq309,376.9
Seq310,439.2
Seq311,415.5
Seq312,368.8
Seq313,387.9
Seq314,377.1
Seq315,389.0
Seq316,372.6
Seq317,367.5
Seq318,372.4
Seq319,444.0
Seq320,431.6
Seq321,375.1
Seq322,373.4
Seq323,88.7
Seq324,392.0
Seq325,425.9
Seq326,442.5
Seq327,370.0
Seq328,386.1
Seq329,372.8
Seq330,373.2
Seq331,389.2
Seq332,389.9
Seq333,374.7
Seq334,357.3
Seq335,388.1
Seq336,363.8
Seq337,364.0
Seq338,442.3
Seq339,376.1
Seq340,390.7
Seq341,415.0
Seq342,368.8
Seq343,374.2
Seq344,188.3
Seq345,373.5
Seq346,386.7
Seq347,390.5
Seq348,371.7
Seq349,375.4
Seq350,388.2
Seq351,416.2
Seq352,370.2
Seq353,403.3
Seq354,438.2
Seq355,389.2
Seq356,383.3
Seq357,404.2
Seq358,368.6
Seq359,415.2
Seq360,390.7
Seq361,372.2
Seq362,373.2
Seq363,372.7
Seq364,263.7
Seq365,439.7
Seq366,390.0
Seq367,442.8
Seq368,416.0
Seq369,391.6
Seq370,371.8
Seq371,410.5
Seq372,387.5
