# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.3.2 (Nov 2020); http://hmmer.org/
# Copyright (C) 2020 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  petml/data/unsupervised/jackhmmer_hmm_b04.txt
# target sequence database:        petml/data/tmp/sequences.fasta
# output directed to file:         ./petml_output/homolog_hmmout/output.txt
# MSA of all hits saved to file:   ./petml_output/homolog_hmmout/aln.sto
# per-seq hits tabular output:     ./petml_output/homolog_hmmout/tab_output.txt
# show alignments in output:       no
# sequence reporting threshold:    score >= 0
# domain reporting threshold:      score >= 0
# sequence inclusion threshold:    score >= 0
# domain inclusion threshold:      score >= 0
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       PETH_IDESA_b04  [M=314]
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence Description
    ------- ------ -----    ------- ------ -----   ---- --  -------- -----------
    4.4e-85  280.3   2.4    5.2e-85  280.1   2.4    1.0  1  Seq96     
    1.1e-84  279.1   3.2    1.2e-84  278.9   3.2    1.0  1  Seq489    
      2e-84  278.2   2.1    2.3e-84  278.0   2.1    1.0  1  Seq147    
    3.4e-82  270.9   0.4    3.7e-82  270.7   0.4    1.0  1  Seq412    
    6.4e-82  269.9   0.3      7e-82  269.8   0.3    1.0  1  Seq108    
    8.6e-82  269.5   5.5    9.4e-82  269.4   5.5    1.0  1  Seq396    
    1.1e-81  269.2   5.9    1.2e-81  269.1   5.9    1.0  1  Seq110    
    1.9e-81  268.4   3.0    2.1e-81  268.3   3.0    1.0  1  Seq353    
    1.9e-81  268.4   0.8    2.1e-81  268.3   0.8    1.0  1  Seq289    
    1.9e-81  268.4   0.6    2.1e-81  268.3   0.6    1.0  1  Seq354    
      2e-81  268.3   5.9    2.2e-81  268.2   5.9    1.0  1  Seq99     
    2.4e-81  268.0   5.5    2.6e-81  267.9   5.5    1.0  1  Seq66     
    2.5e-81  268.0   0.2    2.8e-81  267.8   0.2    1.0  1  Seq245    
    2.5e-81  268.0   0.4    2.8e-81  267.8   0.4    1.0  1  Seq34     
    2.5e-81  268.0   5.8    2.8e-81  267.8   5.8    1.0  1  Seq463    
    2.6e-81  267.9   0.1    2.8e-81  267.8   0.1    1.0  1  Seq52     
      3e-81  267.7   5.9    3.2e-81  267.6   5.9    1.0  1  Seq9      
      3e-81  267.7   0.2    3.3e-81  267.6   0.2    1.0  1  Seq319    
    3.1e-81  267.7   6.1    3.4e-81  267.5   6.1    1.0  1  Seq250    
    3.6e-81  267.5   0.2    4.1e-81  267.3   0.2    1.0  1  Seq94     
    3.7e-81  267.4   6.3      4e-81  267.3   6.3    1.0  1  Seq246    
    3.9e-81  267.4   0.2    4.3e-81  267.2   0.2    1.0  1  Seq29     
    4.4e-81  267.2   5.3    4.8e-81  267.1   5.3    1.0  1  Seq33     
    4.4e-81  267.2   5.9    4.9e-81  267.0   5.9    1.0  1  Seq82     
    4.6e-81  267.1   0.2    5.1e-81  267.0   0.2    1.0  1  Seq106    
      5e-81  267.0   5.7    5.4e-81  266.9   5.7    1.0  1  Seq136    
    5.1e-81  267.0   0.2    5.6e-81  266.8   0.2    1.0  1  Seq303    
    5.4e-81  266.9   6.3    5.9e-81  266.8   6.3    1.0  1  Seq1      
    5.4e-81  266.9   6.2    5.9e-81  266.8   6.2    1.0  1  Seq264    
    5.4e-81  266.9   0.2      6e-81  266.7   0.2    1.0  1  Seq190    
    5.6e-81  266.8   5.7    6.2e-81  266.7   5.7    1.0  1  Seq28     
    5.7e-81  266.8   5.7    6.3e-81  266.7   5.7    1.0  1  Seq282    
    6.1e-81  266.7   5.5    6.6e-81  266.6   5.5    1.0  1  Seq56     
    6.2e-81  266.7   0.1    6.8e-81  266.6   0.1    1.0  1  Seq420    
    6.2e-81  266.7   0.2    6.8e-81  266.6   0.2    1.0  1  Seq39     
    6.5e-81  266.6   6.0    7.1e-81  266.5   6.0    1.0  1  Seq207    
    6.7e-81  266.6   6.6    7.3e-81  266.5   6.6    1.0  1  Seq301    
    6.9e-81  266.5   6.3    7.6e-81  266.4   6.3    1.0  1  Seq446    
      7e-81  266.5   6.1    7.6e-81  266.4   6.1    1.0  1  Seq128    
    7.2e-81  266.5   6.1    7.8e-81  266.4   6.1    1.0  1  Seq249    
      8e-81  266.3   5.8    8.7e-81  266.2   5.8    1.0  1  Seq105    
      8e-81  266.3   5.8    8.7e-81  266.2   5.8    1.0  1  Seq178    
    8.2e-81  266.3   0.2      9e-81  266.2   0.2    1.0  1  Seq454    
    8.3e-81  266.3   2.5    9.2e-81  266.1   2.5    1.0  1  Seq380    
    8.8e-81  266.2   5.3    9.6e-81  266.1   5.3    1.0  1  Seq290    
    8.9e-81  266.2   6.5    9.7e-81  266.1   6.5    1.0  1  Seq111    
    9.5e-81  266.1   0.2      1e-80  266.0   0.2    1.0  1  Seq48     
    9.8e-81  266.0   0.2    1.1e-80  265.9   0.2    1.0  1  Seq161    
    9.9e-81  266.0   0.2    1.1e-80  265.9   0.2    1.0  1  Seq367    
      1e-80  266.0   0.3    1.1e-80  265.9   0.3    1.0  1  Seq197    
    1.1e-80  265.9   0.2    1.2e-80  265.8   0.2    1.0  1  Seq263    
    1.1e-80  265.9   0.2    1.2e-80  265.7   0.2    1.0  1  Seq338    
    1.2e-80  265.8   5.2    1.3e-80  265.6   5.2    1.0  1  Seq119    
    1.2e-80  265.8   0.5    1.3e-80  265.6   0.5    1.0  1  Seq184    
    1.3e-80  265.7   0.2    1.4e-80  265.5   0.2    1.0  1  Seq129    
    1.3e-80  265.7   0.2    1.4e-80  265.5   0.2    1.0  1  Seq300    
    1.3e-80  265.7   6.6    1.4e-80  265.5   6.6    1.0  1  Seq218    
    1.3e-80  265.6   5.8    1.4e-80  265.5   5.8    1.0  1  Seq253    
    1.3e-80  265.6   0.3    1.4e-80  265.5   0.3    1.0  1  Seq480    
    1.3e-80  265.6   6.1    1.4e-80  265.5   6.1    1.0  1  Seq418    
    1.3e-80  265.6   1.4    1.6e-80  265.4   1.4    1.0  1  Seq189    
    1.3e-80  265.6   0.3    1.5e-80  265.5   0.3    1.0  1  Seq410    
    1.5e-80  265.5   5.6    1.6e-80  265.3   5.6    1.0  1  Seq469    
    1.5e-80  265.4   0.2    1.6e-80  265.3   0.2    1.0  1  Seq326    
    1.5e-80  265.4   0.2    1.7e-80  265.3   0.2    1.0  1  Seq365    
    1.5e-80  265.4   6.3    1.7e-80  265.3   6.3    1.0  1  Seq330    
    1.6e-80  265.3   6.5    1.7e-80  265.2   6.5    1.0  1  Seq193    
    1.6e-80  265.3   6.2    1.8e-80  265.2   6.2    1.0  1  Seq479    
    1.6e-80  265.3   0.2    1.8e-80  265.2   0.2    1.0  1  Seq93     
    1.7e-80  265.3   0.2    1.8e-80  265.1   0.2    1.0  1  Seq447    
    1.7e-80  265.3   6.5    1.8e-80  265.1   6.5    1.0  1  Seq75     
    1.7e-80  265.3   3.7    1.8e-80  265.1   3.7    1.0  1  Seq394    
    1.7e-80  265.3   0.2    1.9e-80  265.1   0.2    1.0  1  Seq46     
    1.7e-80  265.3   3.0    1.9e-80  265.1   3.0    1.0  1  Seq182    
    1.7e-80  265.2   0.3    1.9e-80  265.1   0.3    1.0  1  Seq176    
    1.8e-80  265.2   5.7      2e-80  265.0   5.7    1.0  1  Seq16     
    1.8e-80  265.1   6.7      2e-80  265.0   6.7    1.0  1  Seq151    
    1.9e-80  265.1   6.7      2e-80  265.0   6.7    1.0  1  Seq485    
      2e-80  265.0   0.2    2.2e-80  264.9   0.2    1.0  1  Seq421    
    2.3e-80  264.8   6.0    2.5e-80  264.7   6.0    1.0  1  Seq349    
    2.3e-80  264.8   0.2    2.6e-80  264.7   0.2    1.0  1  Seq251    
    2.4e-80  264.8   5.7    2.6e-80  264.7   5.7    1.0  1  Seq444    
    2.4e-80  264.8   0.3    2.6e-80  264.6   0.3    1.0  1  Seq102    
    2.5e-80  264.7   7.2    2.8e-80  264.6   7.2    1.0  1  Seq333    
    2.6e-80  264.7   6.0    2.8e-80  264.5   6.0    1.0  1  Seq415    
    2.6e-80  264.7   0.2    2.9e-80  264.5   0.2    1.0  1  Seq194    
    2.7e-80  264.6   6.4    2.9e-80  264.5   6.4    1.0  1  Seq391    
    2.8e-80  264.5   6.6    3.1e-80  264.4   6.6    1.0  1  Seq254    
    2.9e-80  264.5   0.2    3.2e-80  264.4   0.2    1.0  1  Seq170    
    2.9e-80  264.5   6.1    3.2e-80  264.4   6.1    1.0  1  Seq302    
      3e-80  264.5   6.3    3.3e-80  264.3   6.3    1.0  1  Seq217    
      3e-80  264.4   0.2    3.3e-80  264.3   0.2    1.0  1  Seq474    
      3e-80  264.4   0.4    3.3e-80  264.3   0.4    1.0  1  Seq325    
      3e-80  264.4   6.1    3.3e-80  264.3   6.1    1.0  1  Seq318    
      3e-80  264.4   0.2    3.3e-80  264.3   0.2    1.0  1  Seq118    
    3.1e-80  264.4   0.2    3.4e-80  264.3   0.2    1.0  1  Seq216    
    3.2e-80  264.3   0.1    3.5e-80  264.2   0.1    1.0  1  Seq470    
    3.4e-80  264.3   7.0    3.7e-80  264.1   7.0    1.0  1  Seq199    
    3.4e-80  264.3   0.2    3.8e-80  264.1   0.2    1.0  1  Seq451    
    3.5e-80  264.2   6.5    3.9e-80  264.1   6.5    1.0  1  Seq442    
    3.7e-80  264.2   2.6    4.1e-80  264.0   2.6    1.0  1  Seq227    
    3.7e-80  264.1   6.4      4e-80  264.0   6.4    1.0  1  Seq281    
    3.9e-80  264.1   6.5    4.3e-80  263.9   6.5    1.0  1  Seq209    
    4.1e-80  264.0   6.9    4.5e-80  263.9   6.9    1.0  1  Seq98     
    4.1e-80  264.0   0.1    4.5e-80  263.9   0.1    1.0  1  Seq276    
    4.2e-80  264.0   5.4    4.6e-80  263.8   5.4    1.0  1  Seq17     
    4.4e-80  263.9   6.9    4.8e-80  263.8   6.9    1.0  1  Seq476    
    4.4e-80  263.9   0.2    4.9e-80  263.8   0.2    1.0  1  Seq280    
    4.5e-80  263.9   6.9    4.9e-80  263.7   6.9    1.0  1  Seq162    
    4.6e-80  263.8   2.2      5e-80  263.7   2.2    1.0  1  Seq47     
    4.9e-80  263.7   3.0    5.4e-80  263.6   3.0    1.0  1  Seq306    
      5e-80  263.7   3.3    5.5e-80  263.6   3.3    1.0  1  Seq433    
    5.3e-80  263.6   0.2    5.8e-80  263.5   0.2    1.0  1  Seq422    
    5.3e-80  263.6   9.9    5.9e-80  263.5   9.9    1.0  1  Seq67     
    5.5e-80  263.6   4.0      6e-80  263.5   4.0    1.0  1  Seq286    
    5.5e-80  263.6   3.1    6.1e-80  263.4   3.1    1.0  1  Seq171    
    5.6e-80  263.6   0.2    6.1e-80  263.4   0.2    1.0  1  Seq235    
    5.8e-80  263.5   2.8    6.3e-80  263.4   2.8    1.0  1  Seq120    
      6e-80  263.5   5.5    6.6e-80  263.3   5.5    1.0  1  Seq445    
    6.7e-80  263.3   6.1    7.3e-80  263.2   6.1    1.0  1  Seq450    
    6.7e-80  263.3   5.5    7.4e-80  263.2   5.5    1.0  1  Seq188    
    7.1e-80  263.2   0.2    7.8e-80  263.1   0.2    1.0  1  Seq206    
    7.6e-80  263.1   4.9    8.3e-80  263.0   4.9    1.0  1  Seq279    
    7.6e-80  263.1   5.2    8.3e-80  263.0   5.2    1.0  1  Seq398    
    7.7e-80  263.1   5.4    8.4e-80  263.0   5.4    1.0  1  Seq413    
      8e-80  263.0   4.7    8.8e-80  262.9   4.7    1.0  1  Seq146    
    8.1e-80  263.0   3.0    8.9e-80  262.9   3.0    1.0  1  Seq494    
