# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.3.2 (Nov 2020); http://hmmer.org/
# Copyright (C) 2020 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  petml/data/unsupervised/petase_hmm.txt
# target sequence database:        petml/data/tmp/sequences.fasta
# output directed to file:         ./petml_output/petase_hmmout/output.txt
# MSA of all hits saved to file:   ./petml_output/petase_hmmout/aln.sto
# per-seq hits tabular output:     ./petml_output/petase_hmmout/tab_output.txt
# show alignments in output:       no
# sequence reporting threshold:    score >= 0
# domain reporting threshold:      score >= 0
# sequence inclusion threshold:    score >= 0
# domain inclusion threshold:      score >= 0
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       current_petases_msa  [M=332]
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence Description
    ------- ------ -----    ------- ------ -----   ---- --  -------- -----------
   2.1e-137  453.0   0.1   2.5e-137  452.8   0.1    1.0  1  Seq96     
   8.7e-136  447.7   0.1     1e-135  447.5   0.1    1.0  1  Seq147    
   1.4e-135  447.0   0.1   1.6e-135  446.8   0.1    1.0  1  Seq489    
   2.1e-135  446.5   0.0   2.3e-135  446.3   0.0    1.0  1  Seq94     
   1.2e-134  444.0   0.0   1.3e-134  443.9   0.0    1.0  1  Seq319    
   1.4e-134  443.7   0.0   1.6e-134  443.5   0.0    1.0  1  Seq106    
     2e-134  443.3   0.0   2.2e-134  443.1   0.0    1.0  1  Seq52     
     2e-134  443.3   0.1   2.2e-134  443.1   0.1    1.0  1  Seq303    
   2.3e-134  443.1   0.0   2.5e-134  442.9   0.0    1.0  1  Seq459    
   2.4e-134  443.0   0.0   2.6e-134  442.9   0.0    1.0  1  Seq221    
   2.6e-134  442.8   0.0   2.9e-134  442.7   0.0    1.0  1  Seq367    
   2.6e-134  442.8   0.1   2.9e-134  442.7   0.1    1.0  1  Seq190    
   2.7e-134  442.8   0.0     3e-134  442.7   0.0    1.0  1  Seq161    
