,0
Seq1,-6116
Seq2,-6122
Seq3,-6150
Seq4,-6157
Seq5,-6124
Seq6,-6120
Seq7,-6127
Seq8,-6123
Seq9,-6110
Seq10,-6123
Seq11,-6118
Seq12,-6151
Seq13,-6121
Seq14,-6132
Seq15,-6124
Seq16,-6113
Seq17,-6117
Seq18,-6141
Seq19,-6123
Seq20,-6125
Seq21,-6116
Seq22,-6123
Seq23,-6128
Seq24,-6124
Seq25,-6117
Seq26,-6153
Seq27,-6075
Seq28,-6109
Seq29,-6100
Seq30,-6127
Seq31,-6125
Seq32,-6133
Seq33,-6107
Seq34,-6089
Seq35,-6152
Seq36,-6140
Seq37,-6122
Seq38,-6131
Seq39,-6091
Seq40,-6145
Seq41,-6124
Seq42,-6144
Seq43,-6124
Seq44,-6120
Seq45,-6123
Seq46,-6092
Seq47,-6105
Seq48,-6097
Seq49,-6149
Seq50,-6124
Seq51,-6151
Seq52,-6085
Seq53,-6125
Seq54,-6123
Seq55,-6151
Seq56,-6108
Seq57,-6116
Seq58,-6129
Seq59,-6120
Seq60,-6122
Seq61,-6122
Seq62,-6151
Seq63,-6095
Seq64,-6125
Seq65,-6105
Seq66,-6103
Seq67,-6097
Seq68,-6124
Seq69,-6119
Seq70,-6144
Seq71,-6132
Seq72,-6147
Seq73,-6158
Seq74,-6105
Seq75,-6113
Seq76,-6173
Seq77,-6116
Seq78,-6149
Seq79,-6120
Seq80,-6164
Seq81,-6126
Seq82,-6122
Seq83,-6145
Seq84,-6151
Seq85,-6145
Seq86,-6123
Seq87,-6126
Seq88,-6161
Seq89,-6125
Seq90,-6156
Seq91,-6123
Seq92,-6155
Seq93,-6097
Seq94,-6089
Seq95,-6124
Seq96,-6089
Seq97,-6153
Seq98,-6113
Seq99,-6118
Seq100,-6131
Seq101,-6104
Seq102,-6094
Seq103,-6122
Seq104,-6118
Seq105,-6107
Seq106,-6097
Seq107,-6119
Seq108,-6095
Seq109,-6123
Seq110,-6119
Seq111,-6114
Seq112,-6129
Seq113,-6124
Seq114,-6115
Seq115,-6125
Seq116,-6097
Seq117,-6123
Seq118,-6095
Seq119,-6117
Seq120,-6105
Seq121,-6720
Seq122,-6149
Seq123,-6164
Seq124,-6154
Seq125,-6126
Seq126,-6150
Seq127,-6119
Seq128,-6115
Seq129,-6090
Seq130,-6124
Seq131,-6150
Seq132,-6131
Seq133,-6116
Seq134,-6120
Seq135,-6130
Seq136,-6108
Seq137,-6123
Seq138,-6153
Seq139,-6122
Seq140,-6104
Seq141,-6136
Seq142,-6156
Seq143,-6123
Seq144,-6106
Seq145,-6157
Seq146,-6122
Seq147,-6087
Seq148,-6143
Seq149,-6124
Seq150,-6095
Seq151,-6109
Seq152,-6141
Seq153,-6126
Seq154,-6123
Seq155,-6126
Seq156,-6121
Seq157,-6126
Seq158,-6154
Seq159,-6155
Seq160,-6157
Seq161,-6089
Seq162,-6111
Seq163,-6135
Seq164,-6147
Seq165,-6157
Seq166,-6109
Seq167,-6145
Seq168,-6156
Seq169,-6124
Seq170,-6092
Seq171,-6096
Seq172,-6102
Seq173,-6129
Seq174,-6125
Seq175,-6126
Seq176,-6092
Seq177,-6127
Seq178,-6107
Seq179,-6130
Seq180,-6118
Seq181,-6128
Seq182,-6105
Seq183,-6104
Seq184,-6073
Seq185,-6123
Seq186,-6101
Seq187,-6216
Seq188,-6115
Seq189,-6110
Seq190,-6086
Seq191,-6154
Seq192,-6146
Seq193,-6108
Seq194,-6098
Seq195,-6143
Seq196,-6094
Seq197,-6077
Seq198,-6115
Seq199,-6107
Seq200,-6126
Seq201,-6126
Seq202,-6116
Seq203,-6144
Seq204,-6129
Seq205,-6103
Seq206,-6089
Seq207,-6107
Seq208,-6156
Seq209,-6110
Seq210,-6123
Seq211,-6151
Seq212,-6118
Seq213,-6125
Seq214,-6115
Seq215,-6121
Seq216,-6095
Seq217,-6111
Seq218,-6109
Seq219,-6123
Seq220,-6118
Seq221,-6105
Seq222,-6121
Seq223,-6150
Seq224,-6151
Seq225,-6129
Seq226,-6121
Seq227,-6143
Seq228,-6103
Seq229,-6124
Seq230,-6155
Seq231,-6157
Seq232,-6145
Seq233,-6125
Seq234,-6150
Seq235,-6085
Seq236,-6124
Seq237,-6152
Seq238,-6118
Seq239,-6150
Seq240,-6123
Seq241,-6124
Seq242,-6125
Seq243,-6155
Seq244,-6155
Seq245,-6094
Seq246,-6116
Seq247,-6110
Seq248,-6123
Seq249,-6108
Seq250,-6111
Seq251,-6095
Seq252,-6121
Seq253,-6109
Seq254,-6113
Seq255,-6122
Seq256,-6123
Seq257,-6124
Seq258,-6110
Seq259,-6124
Seq260,-6153
Seq261,-6176
Seq262,-6125
Seq263,-6091
Seq264,-6104
Seq265,-6098
Seq266,-6125
Seq267,-6101
Seq268,-6120
Seq269,-6089
Seq270,-6120
Seq271,-6150
Seq272,-6302
Seq273,-6128
Seq274,-6125
Seq275,-6117
Seq276,-6093
Seq277,-6120
Seq278,-6122
Seq279,-6117
Seq280,-6098
Seq281,-6117
Seq282,-6106
Seq283,-6127
Seq284,-6121
Seq285,-6157
Seq286,-6111
Seq287,-6143
Seq288,-6132
Seq289,-6132
Seq290,-6106
Seq291,-6109
Seq292,-6110
Seq293,-6149
Seq294,-6150
Seq295,-6141
Seq296,-6149
Seq297,-6154
Seq298,-6148
Seq299,-6132
Seq300,-6098
Seq301,-6110
Seq302,-6118
Seq303,-6089
Seq304,-6125
Seq305,-6122
Seq306,-6104
Seq307,-6124
Seq308,-6132
Seq309,-6143
Seq310,-6099
Seq311,-6102
Seq312,-6125
Seq313,-6149
Seq314,-6170
Seq315,-6135
Seq316,-6122
Seq317,-6146
Seq318,-6114
Seq319,-6091
Seq320,-6133
Seq321,-6123
Seq322,-6125
Seq323,-6684
Seq324,-6151
Seq325,-6087
Seq326,-6095
Seq327,-6129
Seq328,-6145
Seq329,-6122
Seq330,-6119
Seq331,-6144
Seq332,-6154
Seq333,-6111
Seq334,-6136
Seq335,-6160
Seq336,-6133
Seq337,-6133
Seq338,-6089
Seq339,-6120
Seq340,-6150
Seq341,-6101
Seq342,-6137
Seq343,-6141
Seq344,-6732
Seq345,-6124
Seq346,-6144
Seq347,-6149
Seq348,-6128
Seq349,-6112
Seq350,-6156
Seq351,-6102
Seq352,-6126
Seq353,-6103
Seq354,-6070
Seq355,-6148
Seq356,-6170
Seq357,-6128
Seq358,-6123
Seq359,-6111
Seq360,-6143
Seq361,-6131
Seq362,-6116
Seq363,-6123
Seq364,-6209
Seq365,-6094
Seq366,-6157
Seq367,-6088
Seq368,-6102
Seq369,-6145
Seq370,-6115
