,0
0,31
1,32
2,33
3,34
4,35
5,36
6,37
7,38
8,39
9,40
10,41
11,42
12,43
13,49
14,50
15,58
16,63
17,65
18,177
19,179
20,181
21,182
22,183
23,188
24,189
25,190
26,199
27,211
28,212
29,218
30,237
31,245
32,258
33,259
34,272
35,280
36,283
37,293
38,294
39,306
40,307
41,340
42,341
43,342
44,343
45,344
46,345
47,350
48,351
49,352
50,355
51,356
52,370
53,374
54,375
55,376
56,377
57,388
58,390
59,391
60,392
61,393
62,394
63,400
64,401
65,403
66,412
67,413
68,414
69,415
70,416
71,425
72,428
73,429
74,430
75,431
76,433
77,434
78,442
79,443
80,444
81,468
82,473
83,474
84,475
85,476
86,480
87,481
88,490
89,491
90,492
91,493
92,508
93,509
94,514
95,515
96,519
97,522
98,524
99,525
100,526
101,527
102,528
103,530
104,553
105,572
106,573
107,574
108,577
109,588
110,589
111,594
112,595
113,597
114,598
115,599
116,600
117,601
118,602
119,610
120,611
121,621
122,622
123,623
124,624
125,625
126,634
127,635
128,641
129,642
130,643
131,644
132,645
133,646
134,647
135,648
136,649
137,650
138,651
139,652
140,653
141,654
142,655
143,656
144,665
145,667
146,668
147,669
148,670
149,672
150,678
151,681
152,683
153,695
154,696
155,705
156,706
157,708
158,709
159,710
160,711
161,712
162,713
163,714
164,715
165,716
166,717
167,719
168,720
169,721
170,735
171,736
172,743
173,744
174,745
175,754
176,763
177,765
178,766
179,767
180,768
181,778
182,779
183,780
184,781
185,786
186,787
187,788
188,793
189,794
190,796
191,797
192,798
193,799
194,800
195,803
196,804
197,809
198,810
199,813
200,816
201,817
202,818
203,819
204,820
205,821
206,837
207,838
208,839
209,840
210,845
211,846
212,847
213,848
214,849
215,850
216,852
217,853
218,854
219,855
220,856
221,858
222,859
223,860
224,861
225,862
226,863
227,864
228,865
229,866
230,915
231,916
232,917
233,918
234,919
235,923
236,924
237,933
238,934
239,935
240,936
241,942
242,943
243,947
244,948
245,949
246,950
247,951
248,953
249,974
250,975
251,976
252,977
253,978
254,979
255,980
256,981
257,982
258,983
259,996
260,997
261,1007
262,1089
263,1103
264,1104
265,1105
266,1107
267,1114
268,1121
269,1122
270,1123
271,1133
272,1134
273,1135
274,1136
275,1141
276,1142
277,1165
278,1166
279,1176
280,1177
281,1178
282,1197
283,1198
284,1199
285,1200
286,1202
287,1203
288,1204
289,1205
290,1206
291,1207
292,1208
293,1209
294,1210
295,1211
296,1212
297,1213
298,1214
299,1242
300,1255
301,1256
302,1257
303,1259
304,1285
305,1287
306,1288
307,1322
308,1323
309,1333
310,1334
311,1335
312,1336
313,1339
314,1340
315,1341
316,1342
317,1347
318,1353
319,1354
320,1355
321,1356
322,1362
323,1363
324,1364
325,1366
326,1373
327,1374
328,1376
329,1404
330,1405
331,1409
332,1422
333,1424
334,1425
335,1426
336,1427
337,1430
338,1431
339,1446
340,1448
341,1453
342,1454
343,1455
344,1460
345,1461
346,1473
347,1474
348,1475
349,1476
350,1482
351,1483
352,1485
353,1497
354,1498
355,1499
356,1517
357,1518
358,1519
359,1520
360,1533
361,1534
362,1535
363,1536
364,1552
365,1572
366,1573
367,1575
368,1576
369,1582
370,1583
371,1584
372,1585
373,1586
374,1587
375,1610
376,1611
377,1612
378,1613
379,1614
380,1615
381,1616
382,1617
383,1618
384,1619
385,1620
386,1621
387,1622
388,1623
389,1624
390,1625
391,1626
392,1650
393,1651
394,1652
395,1653
396,1665
397,1667
398,1668
399,1669
400,1679
401,1680
402,1689
403,1690
404,1691
405,1694
406,1695
407,1696
408,1698
409,1699
410,1700
411,1701
412,1702
413,1703
414,1704
415,1719
416,1720
417,1724
418,1726
419,1727
420,1728
421,1729
422,1730
423,1731
424,1739
425,1740
426,1741
427,1742
428,1743
429,1744
430,1746
431,1749
432,1750
433,1751
434,1752
435,1753
436,1754
